客户编码,R,F,M,labels
S17322,23,20,2732100.0,1
S17323,20,26,3694679.0,1
S17325,56,14,2377299.0,2
S17327,31,18,2365210.0,1
S17329,12,20,2768839.0,1
S17338,23,17,2237066.0,1
S17365,51,16,1892586.0,1
S17375,26,21,3317731.0,1
S17378,39,16,2252508.0,1
S17389,22,31,5022849.0,1
S17399,2,27,3627267.0,1
S17401,80,13,1351510.0,2
S17406,59,45,6973844.0,0
S17439,66,11,1306487.0,2
S17452,106,11,1609262.0,2
S17455,22,17,2179434.0,1
S17463,47,16,2582202.0,1
S17465,24,34,5026089.0,0
S17471,21,37,5227048.0,0
S17476,0,68,10258002.0,0
S17515,25,24,3289423.0,1
S17547,200,10,1784531.0,2
S17553,9,36,5591036.0,0
S17555,54,35,4455613.0,1
S17559,27,56,7757880.0,0
S17565,147,24,2953680.0,2
S17575,1,38,5660091.0,0
S17589,64,17,2927322.0,2
S17593,72,13,1463860.0,2
S17602,66,17,2383776.0,2
S17606,49,19,3322348.0,1
S17622,33,27,4138991.0,1
S17631,37,33,4436337.0,1
S17640,36,12,1454850.0,1
S17651,19,57,10453809.0,0
S17656,16,37,4759318.0,0
S17675,14,43,5208323.0,0
S17681,1,23,3633855.0,1
S17686,21,24,2782929.0,1
